,dates,uf,state,cases,deaths,suspects,refuses
0,2020-02-26,CE,Ceará,0.0,0.0,0.0,1.0
1,2020-02-26,BA,Bahia,0.0,0.0,0.0,2.0
2,2020-02-26,PB,Paraíba,0.0,0.0,1.0,0.0
3,2020-02-26,PE,Pernambuco,0.0,0.0,1.0,0.0
4,2020-02-26,MG,Minas Gerais,0.0,0.0,2.0,2.0
5,2020-02-26,ES,Espírito Santo,0.0,0.0,1.0,0.0
6,2020-02-26,RJ,Rio de Janeiro,0.0,0.0,2.0,8.0
7,2020-02-26,SP,São Paulo,1.0,0.0,11.0,28.0
8,2020-02-26,PR,Paraná,0.0,0.0,0.0,3.0
9,2020-02-26,SC,Santa Catarina,0.0,0.0,2.0,4.0
10,2020-02-26,RS,Rio Grande do Sul,0.0,0.0,0.0,10.0
11,2020-02-26,DF,Distrito Federal,0.0,0.0,0.0,1.0
12,2020-02-27,CE,Ceará,0.0,0.0,5.0,1.0
13,2020-02-27,RN,Rio Grande do Norte,0.0,0.0,4.0,0.0
14,2020-02-27,PB,Paraíba,0.0,0.0,1.0,0.0
15,2020-02-27,PE,Pernambuco,0.0,0.0,3.0,0.0
16,2020-02-27,AL,Alagoas,0.0,0.0,1.0,0.0
17,2020-02-27,BA,Bahia,0.0,0.0,1.0,2.0
18,2020-02-27,MG,Minas Gerais,0.0,0.0,5.0,3.0
19,2020-02-27,ES,Espírito Santo,0.0,0.0,1.0,0.0
20,2020-02-27,RJ,Rio de Janeiro,0.0,0.0,9.0,8.0
21,2020-02-27,SP,São Paulo,1.0,0.0,55.0,28.0
22,2020-02-27,PR,Paraná,0.0,0.0,5.0,3.0
23,2020-02-27,SC,Santa Catarina,0.0,0.0,8.0,4.0
24,2020-02-27,RS,Rio Grande do Sul,0.0,0.0,24.0,10.0
25,2020-02-27,MS,Mato Grosso do Sul,0.0,0.0,2.0,0.0
26,2020-02-27,GO,Goiás,0.0,0.0,3.0,0.0
27,2020-02-27,DF,Distrito Federal,0.0,0.0,5.0,1.0
28,2020-02-28,CE,Ceará,0.0,0.0,6.0,2.0
29,2020-02-28,RN,Rio Grande do Norte,0.0,0.0,3.0,2.0
30,2020-02-28,PB,Paraíba,0.0,0.0,1.0,1.0
31,2020-02-28,PE,Pernambuco,0.0,0.0,5.0,2.0
32,2020-02-28,AL,Alagoas,0.0,0.0,1.0,0.0
33,2020-02-28,BA,Bahia,0.0,0.0,9.0,4.0
34,2020-02-28,MG,Minas Gerais,0.0,0.0,17.0,3.0
35,2020-02-28,ES,Espírito Santo,0.0,0.0,2.0,1.0
36,2020-02-28,RJ,Rio de Janeiro,0.0,0.0,19.0,8.0
37,2020-02-28,SP,São Paulo,1.0,0.0,66.0,30.0
38,2020-02-28,PR,Paraná,0.0,0.0,5.0,3.0
39,2020-02-28,SC,Santa Catarina,0.0,0.0,9.0,4.0
40,2020-02-28,RS,Rio Grande do Sul,0.0,0.0,27.0,10.0
41,2020-02-28,MS,Mato Grosso do Sul,0.0,0.0,2.0,0.0
42,2020-02-28,GO,Goiás,0.0,0.0,5.0,0.0
43,2020-02-28,DF,Distrito Federal,0.0,0.0,5.0,1.0
44,2020-02-29,CE,Ceará,0.0,0.0,6.0,2.0
45,2020-02-29,RN,Rio Grande do Norte,0.0,0.0,3.0,2.0
46,2020-02-29,PB,Paraíba,0.0,0.0,1.0,1.0
47,2020-02-29,PE,Pernambuco,0.0,0.0,5.0,2.0
48,2020-02-29,AL,Alagoas,0.0,0.0,1.0,0.0
49,2020-02-29,BA,Bahia,0.0,0.0,9.0,4.0
50,2020-02-29,MG,Minas Gerais,0.0,0.0,17.0,3.0
51,2020-02-29,ES,Espírito Santo,0.0,0.0,2.0,1.0
52,2020-02-29,RJ,Rio de Janeiro,0.0,0.0,19.0,8.0
53,2020-02-29,SP,São Paulo,2.0,0.0,91.0,38.0
54,2020-02-29,PR,Paraná,0.0,0.0,5.0,3.0
55,2020-02-29,SC,Santa Catarina,0.0,0.0,9.0,4.0
56,2020-02-29,RS,Rio Grande do Sul,0.0,0.0,27.0,10.0
57,2020-02-29,MS,Mato Grosso do Sul,0.0,0.0,2.0,0.0
58,2020-02-29,GO,Goiás,0.0,0.0,5.0,0.0
59,2020-02-29,DF,Distrito Federal,0.0,0.0,5.0,1.0
60,2020-03-01,CE,Ceará,0.0,0.0,6.0,2.0
61,2020-03-01,RN,Rio Grande do Norte,0.0,0.0,3.0,2.0
62,2020-03-01,PB,Paraíba,0.0,0.0,1.0,1.0
63,2020-03-01,PE,Pernambuco,0.0,0.0,5.0,2.0
64,2020-03-01,AL,Alagoas,0.0,0.0,1.0,0.0
65,2020-03-01,BA,Bahia,0.0,0.0,9.0,4.0
66,2020-03-01,MG,Minas Gerais,0.0,0.0,17.0,3.0
67,2020-03-01,ES,Espírito Santo,0.0,0.0,2.0,1.0
68,2020-03-01,RJ,Rio de Janeiro,0.0,0.0,19.0,8.0
69,2020-03-01,SP,São Paulo,2.0,0.0,136.0,48.0
70,2020-03-01,PR,Paraná,0.0,0.0,5.0,3.0
71,2020-03-01,SC,Santa Catarina,0.0,0.0,9.0,4.0
72,2020-03-01,RS,Rio Grande do Sul,0.0,0.0,27.0,10.0
73,2020-03-01,MS,Mato Grosso do Sul,0.0,0.0,2.0,0.0
74,2020-03-01,GO,Goiás,0.0,0.0,5.0,0.0
75,2020-03-01,DF,Distrito Federal,0.0,0.0,5.0,1.0
76,2020-03-02,RO,Rondônia,0.0,0.0,1.0,0.0
77,2020-03-02,AM,Amazonas,0.0,0.0,1.0,1.0
78,2020-03-02,PA,Pará,0.0,0.0,2.0,2.0
79,2020-03-02,MA,Maranhão,0.0,0.0,1.0,1.0
80,2020-03-02,PI,Piauí,0.0,0.0,1.0,2.0
81,2020-03-02,CE,Ceará,0.0,0.0,6.0,6.0
82,2020-03-02,RN,Rio Grande do Norte,0.0,0.0,2.0,6.0
83,2020-03-02,PB,Paraíba,0.0,0.0,2.0,1.0
84,2020-03-02,PE,Pernambuco,0.0,0.0,4.0,10.0
85,2020-03-02,AL,Alagoas,0.0,0.0,3.0,1.0
86,2020-03-02,SE,Sergipe,0.0,0.0,1.0,0.0
87,2020-03-02,BA,Bahia,0.0,0.0,9.0,14.0
88,2020-03-02,MG,Minas Gerais,0.0,0.0,48.0,4.0
89,2020-03-02,ES,Espírito Santo,0.0,0.0,5.0,6.0
90,2020-03-02,RJ,Rio de Janeiro,0.0,0.0,42.0,27.0
91,2020-03-02,SP,São Paulo,2.0,0.0,163.0,48.0
92,2020-03-02,PR,Paraná,0.0,0.0,7.0,8.0
93,2020-03-02,SC,Santa Catarina,0.0,0.0,36.0,4.0
94,2020-03-02,RS,Rio Grande do Sul,0.0,0.0,73.0,10.0
95,2020-03-02,MS,Mato Grosso do Sul,0.0,0.0,6.0,1.0
96,2020-03-02,MT,Mato Grosso,0.0,0.0,5.0,0.0
97,2020-03-02,GO,Goiás,0.0,0.0,3.0,7.0
98,2020-03-02,DF,Distrito Federal,0.0,0.0,12.0,3.0
99,2020-03-03,RO,Rondônia,0.0,0.0,1.0,0.0
100,2020-03-03,AM,Amazonas,0.0,0.0,3.0,1.0
101,2020-03-03,PA,Pará,0.0,0.0,1.0,4.0
102,2020-03-03,MA,Maranhão,0.0,0.0,1.0,1.0
103,2020-03-03,PI,Piauí,0.0,0.0,1.0,2.0
104,2020-03-03,CE,Ceará,0.0,0.0,19.0,9.0
105,2020-03-03,RN,Rio Grande do Norte,0.0,0.0,2.0,6.0
106,2020-03-03,PB,Paraíba,0.0,0.0,4.0,1.0
107,2020-03-03,PE,Pernambuco,0.0,0.0,4.0,11.0
108,2020-03-03,AL,Alagoas,0.0,0.0,5.0,1.0
109,2020-03-03,SE,Sergipe,0.0,0.0,1.0,0.0
110,2020-03-03,BA,Bahia,0.0,0.0,21.0,16.0
111,2020-03-03,MG,Minas Gerais,0.0,0.0,58.0,6.0
112,2020-03-03,ES,Espírito Santo,0.0,0.0,5.0,6.0
113,2020-03-03,RJ,Rio de Janeiro,0.0,0.0,62.0,29.0
114,2020-03-03,SP,São Paulo,2.0,0.0,130.0,104.0
115,2020-03-03,PR,Paraná,0.0,0.0,14.0,8.0
116,2020-03-03,SC,Santa Catarina,0.0,0.0,43.0,4.0
117,2020-03-03,RS,Rio Grande do Sul,0.0,0.0,82.0,20.0
118,2020-03-03,MS,Mato Grosso do Sul,0.0,0.0,6.0,1.0
119,2020-03-03,MT,Mato Grosso,0.0,0.0,6.0,0.0
120,2020-03-03,GO,Goiás,0.0,0.0,7.0,7.0
121,2020-03-03,DF,Distrito Federal,0.0,0.0,12.0,3.0
122,2020-03-04,RO,Rondônia,0.0,0.0,1.0,0.0
123,2020-03-04,AM,Amazonas,0.0,0.0,4.0,1.0
124,2020-03-04,PA,Pará,0.0,0.0,1.0,4.0
125,2020-03-04,MA,Maranhão,0.0,0.0,0.0,2.0
126,2020-03-04,PI,Piauí,0.0,0.0,1.0,2.0
127,2020-03-04,CE,Ceará,0.0,0.0,14.0,18.0
128,2020-03-04,RN,Rio Grande do Norte,0.0,0.0,5.0,6.0
129,2020-03-04,PB,Paraíba,0.0,0.0,4.0,1.0
130,2020-03-04,PE,Pernambuco,0.0,0.0,6.0,11.0
131,2020-03-04,AL,Alagoas,0.0,0.0,5.0,1.0
132,2020-03-04,SE,Sergipe,0.0,0.0,1.0,0.0
133,2020-03-04,BA,Bahia,0.0,0.0,19.0,21.0
134,2020-03-04,MG,Minas Gerais,0.0,0.0,82.0,6.0
135,2020-03-04,ES,Espírito Santo,0.0,0.0,5.0,7.0
136,2020-03-04,RJ,Rio de Janeiro,0.0,0.0,55.0,52.0
137,2020-03-04,SP,São Paulo,3.0,0.0,135.0,131.0
138,2020-03-04,PR,Paraná,0.0,0.0,13.0,8.0
139,2020-03-04,SC,Santa Catarina,0.0,0.0,46.0,4.0
140,2020-03-04,RS,Rio Grande do Sul,0.0,0.0,98.0,20.0
141,2020-03-04,MS,Mato Grosso do Sul,0.0,0.0,10.0,3.0
142,2020-03-04,MT,Mato Grosso,0.0,0.0,6.0,0.0
143,2020-03-04,GO,Goiás,0.0,0.0,1.0,12.0
144,2020-03-04,DF,Distrito Federal,0.0,0.0,18.0,5.0
145,2020-03-05,RO,Rondônia,0.0,0.0,1.0,0.0
146,2020-03-05,AM,Amazonas,0.0,0.0,5.0,1.0
147,2020-03-05,PA,Pará,0.0,0.0,1.0,5.0
148,2020-03-05,MA,Maranhão,0.0,0.0,0.0,2.0
149,2020-03-05,PI,Piauí,0.0,0.0,1.0,2.0
150,2020-03-05,CE,Ceará,0.0,0.0,16.0,18.0
151,2020-03-05,RN,Rio Grande do Norte,0.0,0.0,4.0,8.0
152,2020-03-05,PB,Paraíba,0.0,0.0,4.0,1.0
153,2020-03-05,PE,Pernambuco,0.0,0.0,8.0,12.0
154,2020-03-05,AL,Alagoas,0.0,0.0,6.0,1.0
155,2020-03-05,SE,Sergipe,0.0,0.0,2.0,0.0
156,2020-03-05,BA,Bahia,0.0,0.0,23.0,29.0
157,2020-03-05,MG,Minas Gerais,0.0,0.0,80.0,12.0
158,2020-03-05,ES,Espírito Santo,0.0,0.0,5.0,8.0
159,2020-03-05,RJ,Rio de Janeiro,1.0,0.0,79.0,58.0
160,2020-03-05,SP,São Paulo,6.0,0.0,182.0,159.0
161,2020-03-05,PR,Paraná,0.0,0.0,20.0,9.0
162,2020-03-05,SC,Santa Catarina,0.0,0.0,54.0,4.0
163,2020-03-05,RS,Rio Grande do Sul,0.0,0.0,104.0,25.0
164,2020-03-05,MS,Mato Grosso do Sul,0.0,0.0,11.0,3.0
165,2020-03-05,MT,Mato Grosso,0.0,0.0,6.0,0.0
166,2020-03-05,GO,Goiás,0.0,0.0,4.0,12.0
167,2020-03-05,DF,Distrito Federal,0.0,0.0,20.0,9.0
168,2020-03-06,RO,Rondônia,0.0,0.0,1.0,0.0
169,2020-03-06,AM,Amazonas,0.0,0.0,2.0,4.0
170,2020-03-06,PA,Pará,0.0,0.0,4.0,5.0
171,2020-03-06,MA,Maranhão,0.0,0.0,0.0,2.0
172,2020-03-06,PI,Piauí,0.0,0.0,1.0,2.0
173,2020-03-06,CE,Ceará,0.0,0.0,12.0,24.0
